design,method,lower_error_freq,upper_error_freq,coverage
1,WprevSeSp,0,0,1
1,WprevSeSp_gamma_result,0,0,1
1,WprevSeSp,0,0,1
1,WprevSeSp_gamma_result,0,0,1
2,WprevSeSp,0,0,1
2,WprevSeSp_gamma_result,0,0,1
3,WprevSeSp,0,0,1
3,WprevSeSp_gamma_result,0,0,1
4,WprevSeSp,0,0,1
4,WprevSeSp_gamma_result,0,0,1
5,WprevSeSp,0,0,1
5,WprevSeSp_gamma_result,0,0,1
6,WprevSeSp,0,0,1
6,WprevSeSp_gamma_result,0,0,1
7,WprevSeSp,0,0,1
7,WprevSeSp_gamma_result,0,0,1
8,WprevSeSp,0,0,1
8,WprevSeSp_gamma_result,0,0,1
9,WprevSeSp,0,0,1
9,WprevSeSp_gamma_result,0,0,1
10,WprevSeSp,0,0,1
10,WprevSeSp_gamma_result,0,0,1
11,WprevSeSp,0,0,1
11,WprevSeSp_gamma_result,0,0,1
12,WprevSeSp,0,0,1
12,WprevSeSp_gamma_result,0,0,1
13,WprevSeSp,0,0,1
13,WprevSeSp_gamma_result,0,0,1
14,WprevSeSp,0,0,1
14,WprevSeSp_gamma_result,0,0,1
15,WprevSeSp,0,0,1
15,WprevSeSp_gamma_result,0,0,1
16,WprevSeSp,0,0,1
16,WprevSeSp_gamma_result,0,0,1
17,WprevSeSp,0,0,1
17,WprevSeSp_gamma_result,0,0,1
18,WprevSeSp,0,0,1
18,WprevSeSp_gamma_result,0,0,1
19,WprevSeSp,0,0,1
19,WprevSeSp_gamma_result,0,0,1
20,WprevSeSp,0,0,1
20,WprevSeSp_gamma_result,0,0,1
21,WprevSeSp,0,0,1
21,WprevSeSp_gamma_result,0,0,1
22,WprevSeSp,0,0,1
22,WprevSeSp_gamma_result,0,0,1
23,WprevSeSp,0,0,1
23,WprevSeSp_gamma_result,0,0,1
24,WprevSeSp,0,0,1
24,WprevSeSp_gamma_result,0,0,1
25,WprevSeSp,0,0,1
25,WprevSeSp_gamma_result,0,0,1
26,WprevSeSp,0,0,1
26,WprevSeSp_gamma_result,0,0,1
27,WprevSeSp,0,0,1
27,WprevSeSp_gamma_result,0,0,1
28,WprevSeSp,0,0,1
28,WprevSeSp_gamma_result,0,0,1
29,WprevSeSp,0,0,1
29,WprevSeSp_gamma_result,0,0,1
30,WprevSeSp,0,0,1
30,WprevSeSp_gamma_result,0,0,1
31,WprevSeSp,0,0,1
31,WprevSeSp_gamma_result,0,0,1
32,WprevSeSp,0,0,1
32,WprevSeSp_gamma_result,0,0,1
33,WprevSeSp,0,0,1
33,WprevSeSp_gamma_result,0,0,1
34,WprevSeSp,0,0.1998,0.8002
34,WprevSeSp_gamma_result,0,0.1998,0.8002
35,WprevSeSp,0,0.111,0.889
35,WprevSeSp_gamma_result,0,0.111,0.889
36,WprevSeSp,0,0,1
36,WprevSeSp_gamma_result,0,0,1
37,WprevSeSp,0,0,1
37,WprevSeSp_gamma_result,0,0,1
38,WprevSeSp,0,0,1
38,WprevSeSp_gamma_result,0,0,1
39,WprevSeSp,0,0,1
39,WprevSeSp_gamma_result,0,0,1
40,WprevSeSp,0,0,1
40,WprevSeSp_gamma_result,0,0,1
41,WprevSeSp,0,0,1
41,WprevSeSp_gamma_result,0,0,1
42,WprevSeSp,0,0,1
42,WprevSeSp_gamma_result,0,0,1
43,WprevSeSp,0,0,1
43,WprevSeSp_gamma_result,0,0,1
44,WprevSeSp,0,0,1
44,WprevSeSp_gamma_result,0,0,1
45,WprevSeSp,0,0,1
45,WprevSeSp_gamma_result,0,0,1
46,WprevSeSp,0,0,1
46,WprevSeSp_gamma_result,0,0,1
47,WprevSeSp,0,0,1
47,WprevSeSp_gamma_result,0,0,1
48,WprevSeSp,0,0,1
48,WprevSeSp_gamma_result,0,0,1
49,WprevSeSp,0,0,1
49,WprevSeSp_gamma_result,0,0,1
50,WprevSeSp,0,0,1
50,WprevSeSp_gamma_result,0,0,1
51,WprevSeSp,0,0,1
51,WprevSeSp_gamma_result,0,0,1
52,WprevSeSp,0,1e-4,0.9999
52,WprevSeSp_gamma_result,0,1e-4,0.9999
53,WprevSeSp,0,0,1
53,WprevSeSp_gamma_result,0,0,1
54,WprevSeSp,0,0,1
54,WprevSeSp_gamma_result,0,0,1
55,WprevSeSp,0,0,1
55,WprevSeSp_gamma_result,0,0,1
56,WprevSeSp,0,0,1
56,WprevSeSp_gamma_result,0,0,1
57,WprevSeSp,0,0,1
57,WprevSeSp_gamma_result,0,0,1
2,WprevSeSp,0,0,1
2,WprevSeSp_gamma_result,0,0,1
58,WprevSeSp,0,0,1
58,WprevSeSp_gamma_result,0,0,1
59,WprevSeSp,0,0,1
59,WprevSeSp_gamma_result,0,0,1
60,WprevSeSp,0,0,1
60,WprevSeSp_gamma_result,0,0,1
61,WprevSeSp,0,0,1
61,WprevSeSp_gamma_result,0,0,1
62,WprevSeSp,0,0,1
62,WprevSeSp_gamma_result,0,0,1
63,WprevSeSp,0,0,1
63,WprevSeSp_gamma_result,0,0,1
64,WprevSeSp,0,0,1
64,WprevSeSp_gamma_result,0,0,1
65,WprevSeSp,0,0,1
65,WprevSeSp_gamma_result,0,0,1
66,WprevSeSp,0,0,1
66,WprevSeSp_gamma_result,0,0,1
67,WprevSeSp,0,0,1
67,WprevSeSp_gamma_result,0,0,1
68,WprevSeSp,0,0,1
68,WprevSeSp_gamma_result,0,0,1
69,WprevSeSp,0,0,1
69,WprevSeSp_gamma_result,0,0,1
70,WprevSeSp,0,0.166,0.834
70,WprevSeSp_gamma_result,0,0.166,0.834
71,WprevSeSp,0,2e-4,0.9998
71,WprevSeSp_gamma_result,0,2e-4,0.9998
72,WprevSeSp,0,0,1
72,WprevSeSp_gamma_result,0,0,1
73,WprevSeSp,0,0,1
73,WprevSeSp_gamma_result,0,0,1
74,WprevSeSp,0,0,1
74,WprevSeSp_gamma_result,0,0,1
75,WprevSeSp,0,0,1
75,WprevSeSp_gamma_result,0,0,1
76,WprevSeSp,0,0,1
76,WprevSeSp_gamma_result,0,0,1
77,WprevSeSp,0,0,1
77,WprevSeSp_gamma_result,0,0,1
78,WprevSeSp,0,0,1
78,WprevSeSp_gamma_result,0,0,1
79,WprevSeSp,0,0,1
79,WprevSeSp_gamma_result,0,0,1
80,WprevSeSp,0,0,1
80,WprevSeSp_gamma_result,0,0,1
81,WprevSeSp,0,0,1
81,WprevSeSp_gamma_result,0,0,1
82,WprevSeSp,0,0,1
82,WprevSeSp_gamma_result,0,0,1
83,WprevSeSp,0,0,1
83,WprevSeSp_gamma_result,0,0,1
84,WprevSeSp,0,0,1
84,WprevSeSp_gamma_result,0,0,1
85,WprevSeSp,0,0,1
85,WprevSeSp_gamma_result,0,0,1
86,WprevSeSp,0,0,1
86,WprevSeSp_gamma_result,0,0,1
87,WprevSeSp,0,0,1
87,WprevSeSp_gamma_result,0,0,1
88,WprevSeSp,0,1e-4,0.9999
88,WprevSeSp_gamma_result,0,1e-4,0.9999
89,WprevSeSp,0,0,1
89,WprevSeSp_gamma_result,0,0,1
90,WprevSeSp,0,0,1
90,WprevSeSp_gamma_result,0,0,1
91,WprevSeSp,0,0,1
91,WprevSeSp_gamma_result,0,0,1
92,WprevSeSp,0,0,1
92,WprevSeSp_gamma_result,0,0,1
93,WprevSeSp,0,0,1
93,WprevSeSp_gamma_result,0,0,1
94,WprevSeSp,0,0,1
94,WprevSeSp_gamma_result,0,0,1
95,WprevSeSp,0,0,1
95,WprevSeSp_gamma_result,0,0,1
96,WprevSeSp,0,0,1
96,WprevSeSp_gamma_result,0,0,1
97,WprevSeSp,0,0,1
97,WprevSeSp_gamma_result,0,0,1
98,WprevSeSp,0,0,1
98,WprevSeSp_gamma_result,0,0,1
99,WprevSeSp,0,0,1
99,WprevSeSp_gamma_result,0,0,1
100,WprevSeSp,0,0,1
100,WprevSeSp_gamma_result,0,0,1
101,WprevSeSp,0,0,1
