design,n_groups,coef_var,tests_per_group,n_tested_for_sensitivity,n_tested_for_specificity,prev,sensitivity,specificity,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
1,50,0.010477695140182734,200,60,300,0.005,0.95,0.75,0.75,high,38,0.006551638707416061,1
2,50,0.010477695140182734,200,60,300,0.005,0.95,0.75,0.75,low,38,0.0066062501158867986,1
3,50,0.010477695140182734,200,60,300,0.005,0.95,0.75,0.75,uniform,38,0.006580393126220945,1
4,50,0.010477695140182734,200,60,300,0.005,0.95,0.8,0.75,high,38,0.006551638707416061,1
5,50,0.010477695140182734,200,60,300,0.005,0.95,0.8,0.75,low,38,0.0066062501158867986,1
6,50,0.010477695140182734,200,60,300,0.005,0.95,0.8,0.75,uniform,38,0.006580393126220945,1
7,50,0.010477695140182734,200,60,300,0.005,0.95,0.85,0.75,high,38,0.006551638707416061,1
8,50,0.010477695140182734,200,60,300,0.005,0.95,0.85,0.75,low,38,0.0066062501158867986,1
9,50,0.010477695140182734,200,60,300,0.005,0.95,0.85,0.75,uniform,38,0.006580393126220945,1
10,50,0.010477695140182734,200,60,300,0.005,0.95,0.9,0.75,high,38,0.006551638707416061,1
11,50,0.010477695140182734,200,60,300,0.005,0.95,0.9,0.75,low,38,0.0066062501158867986,1
12,50,0.010477695140182734,200,60,300,0.005,0.95,0.9,0.75,uniform,38,0.006580393126220945,1
13,50,0.010477695140182734,200,60,300,0.005,0.95,0.95,0.75,high,38,0.006551638707416061,1
14,50,0.010477695140182734,200,60,300,0.005,0.95,0.95,0.75,low,38,0.0066062501158867986,1
15,50,0.010477695140182734,200,60,300,0.005,0.95,0.95,0.75,uniform,38,0.006580393126220945,1
16,50,0.010477695140182734,200,60,300,0.005,0.95,1,0.75,high,38,0.006551638707416061,1
17,50,0.010477695140182734,200,60,300,0.005,0.95,1,0.75,low,38,0.0066062501158867986,1
18,50,0.010477695140182734,200,60,300,0.005,0.95,1,0.75,uniform,38,0.006580393126220945,1
19,50,0.010477695140182734,200,60,300,0.05,0.95,0.75,0.75,high,38,0.06551638707416062,1
20,50,0.010477695140182734,200,60,300,0.05,0.95,0.75,0.75,low,38,0.06606250115886798,1
21,50,0.010477695140182734,200,60,300,0.05,0.95,0.75,0.75,uniform,38,0.06580393126220944,1
22,50,0.010477695140182734,200,60,300,0.05,0.95,0.8,0.75,high,38,0.06551638707416062,1
23,50,0.010477695140182734,200,60,300,0.05,0.95,0.8,0.75,low,38,0.06606250115886798,1
24,50,0.010477695140182734,200,60,300,0.05,0.95,0.8,0.75,uniform,38,0.06580393126220944,1
25,50,0.010477695140182734,200,60,300,0.05,0.95,0.85,0.75,high,38,0.06551638707416062,1
26,50,0.010477695140182734,200,60,300,0.05,0.95,0.85,0.75,low,38,0.06606250115886798,1
27,50,0.010477695140182734,200,60,300,0.05,0.95,0.85,0.75,uniform,38,0.06580393126220944,1
28,50,0.010477695140182734,200,60,300,0.05,0.95,0.9,0.75,high,38,0.06551638707416062,1
29,50,0.010477695140182734,200,60,300,0.05,0.95,0.9,0.75,low,38,0.06606250115886798,1
30,50,0.010477695140182734,200,60,300,0.05,0.95,0.9,0.75,uniform,38,0.06580393126220944,1
31,50,0.010477695140182734,200,60,300,0.05,0.95,0.95,0.75,high,38,0.06551638707416062,1
32,50,0.010477695140182734,200,60,300,0.05,0.95,0.95,0.75,low,38,0.06606250115886798,1
33,50,0.010477695140182734,200,60,300,0.05,0.95,0.95,0.75,uniform,38,0.06580393126220944,1
34,50,0.010477695140182734,200,60,300,0.05,0.95,1,0.75,high,38,0.06551638707416062,1
35,50,0.010477695140182734,200,60,300,0.05,0.95,1,0.75,low,38,0.06606250115886798,1
36,50,0.010477695140182734,200,60,300,0.05,0.95,1,0.75,uniform,38,0.06580393126220944,1
37,50,0.01980434272814637,200,60,300,0.005,0.95,0.75,0.75,high,38,0.006524402884402473,1
38,50,0.01980434272814637,200,60,300,0.005,0.95,0.75,0.75,low,38,0.006631085434767168,1
