design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
1,50,0.010477695140182734,200,0.05,0.1,high,5,0.49054668514801203,1
2,50,0.010477695140182734,200,0.05,0.1,low,5,0.5091023231784827,1
3,50,0.010477695140182734,200,0.05,0.1,uniform,5,0.5000324111020776,1
4,50,0.010477695140182734,200,0.05,0.25,high,12,0.20564201211713348,1
5,50,0.010477695140182734,200,0.05,0.25,low,12,0.2111199816072675,1
6,50,0.010477695140182734,200,0.05,0.25,uniform,12,0.2083893431921152,1
7,50,0.010477695140182734,200,0.05,0.5,high,25,0.0991842093678426,1
8,50,0.010477695140182734,200,0.05,0.5,low,25,0.10082932168946361,1
9,50,0.010477695140182734,200,0.05,0.5,uniform,25,0.10000939735560167,1
10,50,0.010477695140182734,200,0.05,0.75,high,38,0.06551638707416062,1
11,50,0.010477695140182734,200,0.05,0.75,low,38,0.06606250115886798,1
12,50,0.010477695140182734,200,0.05,0.75,uniform,38,0.06580393126220944,1
13,50,0.01980434272814637,200,0.05,0.1,high,5,0.4857643433781994,1
14,50,0.01980434272814637,200,0.05,0.1,low,5,0.5189941896921737,1
15,50,0.01980434272814637,200,0.05,0.1,uniform,5,0.4996270366406617,1
16,50,0.01980434272814637,200,0.05,0.25,high,12,0.20327216752179925,1
17,50,0.01980434272814637,200,0.05,0.25,low,12,0.21399864009572092,1
18,50,0.01980434272814637,200,0.05,0.25,uniform,12,0.20815976020670277,1
19,50,0.01980434272814637,200,0.05,0.5,high,25,0.09843822600386161,1
20,50,0.01980434272814637,200,0.05,0.5,low,25,0.10161212963911384,1
21,50,0.01980434272814637,200,0.05,0.5,uniform,25,0.09993813021334319,1
22,50,0.01980434272814637,200,0.05,0.75,high,38,0.06524402884402473,1
23,50,0.01980434272814637,200,0.05,0.75,low,38,0.06631085434767169,1
24,50,0.01980434272814637,200,0.05,0.75,uniform,38,0.06577779190098865,1
25,50,0.026810684593053406,200,0.05,0.1,high,5,0.47847107325690097,1
26,50,0.026810684593053406,200,0.05,0.1,low,5,0.5249215873361309,1
27,50,0.026810684593053406,200,0.05,0.1,uniform,5,0.5001027949957573,1
28,50,0.026810684593053406,200,0.05,0.25,high,12,0.20130990629669449,1
29,50,0.026810684593053406,200,0.05,0.25,low,12,0.21580457212411908,1
30,50,0.026810684593053406,200,0.05,0.25,uniform,12,0.20830520359307564,1
31,50,0.026810684593053406,200,0.05,0.5,high,25,0.09792674640861611,1
32,50,0.026810684593053406,200,0.05,0.5,low,25,0.10216294005617205,1
33,50,0.026810684593053406,200,0.05,0.5,uniform,25,0.1000059262018885,1
34,50,0.026810684593053406,200,0.05,0.75,high,38,0.06507799192731872,1
35,50,0.026810684593053406,200,0.05,0.75,low,38,0.0665223815227134,1
36,50,0.026810684593053406,200,0.05,0.75,uniform,38,0.06581287570349727,1
37,50,0.03952868137522828,200,0.05,0.1,high,5,0.4692384388492205,1
38,50,0.03952868137522828,200,0.05,0.1,low,5,0.5382330386704125,1
39,50,0.03952868137522828,200,0.05,0.1,uniform,5,0.4998874850084396,1
