design,method,lower_error_freq,upper_error_freq,coverage
1,AC,0.0092,0.0069,0.9839
1,CP,0.0055,0.0114,0.9831
1,wspoissonTest,0.0055,0.0114,0.9831
1,wspoissonTest_midp,0.0092,0.0114,0.9794
2,AC,0.0108,0.0092,0.98
2,CP,0.0066,0.0092,0.9842
2,wspoissonTest,0.0066,0.0092,0.9842
2,wspoissonTest_midp,0.0108,0.0139,0.9753
3,AC,0.0174,0.0069,0.9757
3,CP,0.0119,0.0112,0.9769
3,wspoissonTest,0.0119,0.0112,0.9769
3,wspoissonTest_midp,0.0119,0.0112,0.9769
4,AC,0.0161,0.0116,0.9723
4,CP,0.0123,0.0185,0.9692
4,wspoissonTest,0.0135,0.0116,0.9749
4,wspoissonTest_midp,0.0161,0.0185,0.9654
5,AC,0.0225,0.0127,0.9648
5,CP,0.0167,0.0193,0.964
5,wspoissonTest,0.0167,0.0193,0.964
5,wspoissonTest_midp,0.0223,0.0193,0.9584
6,AC,0.0221,0.0153,0.9626
6,CP,0.0178,0.0173,0.9649
6,wspoissonTest,0.0178,0.0173,0.9649
6,wspoissonTest_midp,0.0178,0.0173,0.9649
7,AC,0.0217,0.0155,0.9628
7,CP,0.0215,0.0155,0.963
7,wspoissonTest,0.0215,0.0155,0.963
7,wspoissonTest_midp,0.0215,0.0233,0.9552
8,AC,0.0287,0.0193,0.952
8,CP,0.0202,0.0193,0.9605
8,wspoissonTest,0.0202,0.0193,0.9605
8,wspoissonTest_midp,0.0202,0.0193,0.9605
9,AC,0.0225,0.0167,0.9608
9,CP,0.0191,0.0193,0.9616
9,wspoissonTest,0.0191,0.0191,0.9618
9,wspoissonTest_midp,0.0191,0.0193,0.9616
10,AC,0.0294,0.0179,0.9527
10,CP,0.0224,0.0179,0.9597
10,wspoissonTest,0.0224,0.0179,0.9597
10,wspoissonTest_midp,0.0224,0.0254,0.9522
11,AC,0.0249,0.0194,0.9557
11,CP,0.0176,0.0194,0.963
11,wspoissonTest,0.0176,0.0194,0.963
11,wspoissonTest_midp,0.0249,0.0263,0.9488
12,AC,0.0281,0.022,0.9499
12,CP,0.0255,0.0239,0.9506
12,wspoissonTest,0.0255,0.0238,0.9507
12,wspoissonTest_midp,0.0255,0.0239,0.9506
13,AC,0.0273,0.0222,0.9505
13,CP,0.0189,0.0222,0.9589
13,wspoissonTest,0.0189,0.0222,0.9589
13,wspoissonTest_midp,0.0273,0.023,0.9497
14,AC,0.0286,0.0178,0.9536
14,CP,0.0203,0.0178,0.9619
14,wspoissonTest,0.0203,0.0178,0.9619
14,wspoissonTest_midp,0.0286,0.0256,0.9458
15,AC,0.0278,0.0197,0.9525
15,CP,0.0232,0.022,0.9548
15,wspoissonTest,0.0232,0.0216,0.9552
15,wspoissonTest_midp,0.0232,0.022,0.9548
16,AC,0.0273,0.0214,0.9513
16,CP,0.0214,0.0214,0.9572
16,wspoissonTest,0.0218,0.0214,0.9568
16,wspoissonTest_midp,0.0273,0.0214,0.9513
