design,method,lower_error_freq,upper_error_freq,coverage
1,AC,0.0026,0.0055,0.9919
1,CP,0.0024,0.0055,0.9921
1,wspoissonTest,0.0025,0.0055,0.992
1,wspoissonTest_midp,0.0026,0.0055,0.9919
2,AC,0.0027,0.0019,0.9954
2,CP,0.0026,0.0019,0.9955
2,wspoissonTest,0.0026,0.0019,0.9955
2,wspoissonTest_midp,0.0027,0.0024,0.9949
3,AC,0.0033,0.0032,0.9935
3,CP,0.0032,0.0032,0.9936
3,wspoissonTest,0.0032,0.0032,0.9936
3,wspoissonTest_midp,0.0032,0.0032,0.9936
4,AC,0.0152,0.0126,0.9722
4,CP,0.0135,0.0125,0.974
4,wspoissonTest,0.0139,0.0124,0.9737
4,wspoissonTest_midp,0.0151,0.0129,0.972
5,AC,0.0138,0.0145,0.9717
5,CP,0.0121,0.0145,0.9734
5,wspoissonTest,0.0121,0.0145,0.9734
5,wspoissonTest_midp,0.0121,0.015,0.9729
6,AC,0.0171,0.0136,0.9693
6,CP,0.0157,0.0136,0.9707
6,wspoissonTest,0.0162,0.0136,0.9702
6,wspoissonTest_midp,0.0167,0.0138,0.9695
7,AC,0.0206,0.0179,0.9615
7,CP,0.018,0.0179,0.9641
7,wspoissonTest,0.018,0.0177,0.9643
7,wspoissonTest_midp,0.0193,0.0179,0.9628
8,AC,0.0195,0.0206,0.9599
8,CP,0.0171,0.0206,0.9623
8,wspoissonTest,0.0177,0.0201,0.9622
8,wspoissonTest_midp,0.0194,0.021,0.9596
9,AC,0.0204,0.021,0.9586
9,CP,0.0187,0.021,0.9603
9,wspoissonTest,0.0189,0.0208,0.9603
9,wspoissonTest_midp,0.0191,0.0211,0.9598
10,AC,0.0238,0.019,0.9572
10,CP,0.0217,0.019,0.9593
10,wspoissonTest,0.0218,0.0189,0.9593
10,wspoissonTest_midp,0.0224,0.019,0.9586
11,AC,0.0202,0.0194,0.9604
11,CP,0.0178,0.0194,0.9628
11,wspoissonTest,0.0186,0.0191,0.9623
11,wspoissonTest_midp,0.0195,0.0194,0.9611
12,AC,0.0259,0.0214,0.9527
12,CP,0.0234,0.0214,0.9552
12,wspoissonTest,0.0242,0.0211,0.9547
12,wspoissonTest_midp,0.0251,0.0221,0.9528
13,AC,0.0026,0.0037,0.9937
13,CP,0.0022,0.0037,0.9941
13,wspoissonTest,0.0025,0.0037,0.9938
13,wspoissonTest_midp,0.0025,0.0042,0.9933
14,AC,0.0023,0.0013,0.9964
14,CP,0.0015,0.0013,0.9972
14,wspoissonTest,0.0015,0.0012,0.9973
14,wspoissonTest_midp,0.0017,0.0014,0.9969
15,AC,0.0019,0.0038,0.9943
15,CP,0.0017,0.0038,0.9945
15,wspoissonTest,0.0017,0.0038,0.9945
15,wspoissonTest_midp,0.0018,0.0041,0.9941
16,AC,0.0134,0.0132,0.9734
16,CP,0.0122,0.0132,0.9746
16,wspoissonTest,0.0126,0.0132,0.9742
16,wspoissonTest_midp,0.0134,0.0144,0.9722
17,AC,0.0138,0.014,0.9722
17,CP,0.012,0.014,0.974
17,wspoissonTest,0.0126,0.0135,0.9739
17,wspoissonTest_midp,0.0131,0.0142,0.9727
18,AC,0.0143,0.0125,0.9732
18,CP,0.013,0.0124,0.9746
18,wspoissonTest,0.0132,0.0124,0.9744
18,wspoissonTest_midp,0.0142,0.0142,0.9716
19,AC,0.0215,0.0177,0.9608
19,CP,0.02,0.0175,0.9625
19,wspoissonTest,0.0201,0.0175,0.9624
19,wspoissonTest_midp,0.0204,0.0188,0.9608
20,AC,0.0216,0.0198,0.9586
20,CP,0.0198,0.0197,0.9605
20,wspoissonTest,0.0201,0.0195,0.9604
20,wspoissonTest_midp,0.0213,0.0207,0.958
21,AC,0.0212,0.0179,0.9609
21,CP,0.0192,0.0179,0.9629
21,wspoissonTest,0.0194,0.0178,0.9628
21,wspoissonTest_midp,0.0208,0.0189,0.9603
22,AC,0.0243,0.0204,0.9553
22,CP,0.0215,0.0203,0.9582
22,wspoissonTest,0.0219,0.02,0.9581
22,wspoissonTest_midp,0.0232,0.0208,0.956
23,AC,0.0226,0.0201,0.9573
23,CP,0.0208,0.0201,0.9591
23,wspoissonTest,0.0211,0.0196,0.9593
23,wspoissonTest_midp,0.0221,0.021,0.9569
24,AC,0.0201,0.0194,0.9605
24,CP,0.0182,0.0193,0.9625
24,wspoissonTest,0.0182,0.0191,0.9627
24,wspoissonTest_midp,0.019,0.0206,0.9604
25,AC,0.003,0.0033,0.9937
25,CP,0.0028,0.0033,0.9939
25,wspoissonTest,0.0028,0.0033,0.9939
25,wspoissonTest_midp,0.0029,0.0037,0.9934
26,AC,0.0018,0.0024,0.9958
26,CP,0.0017,0.0024,0.9959
26,wspoissonTest,0.0017,0.0023,0.996
26,wspoissonTest_midp,0.0017,0.0025,0.9958
27,AC,0.003,0.0029,0.9941
27,CP,0.0027,0.0029,0.9944
27,wspoissonTest,0.0028,0.0029,0.9943
27,wspoissonTest_midp,0.0029,0.0032,0.9939
28,AC,0.0135,0.0143,0.9722
28,CP,0.0109,0.0142,0.9749
28,wspoissonTest,0.0111,0.014,0.9749
28,wspoissonTest_midp,0.0133,0.0146,0.9721
29,AC,0.0138,0.0143,0.9719
29,CP,0.0125,0.0142,0.9733
29,wspoissonTest,0.0125,0.014,0.9735
29,wspoissonTest_midp,0.013,0.0147,0.9723
30,AC,0.0151,0.0112,0.9737
30,CP,0.0134,0.0111,0.9755
30,wspoissonTest,0.0136,0.0108,0.9756
30,wspoissonTest_midp,0.0145,0.0121,0.9734
31,AC,0.0199,0.02,0.9601
31,CP,0.0182,0.02,0.9618
31,wspoissonTest,0.0184,0.0196,0.962
31,wspoissonTest_midp,0.0192,0.0211,0.9597
32,AC,0.021,0.0165,0.9625
32,CP,0.0184,0.0164,0.9652
32,wspoissonTest,0.0184,0.0163,0.9653
32,wspoissonTest_midp,0.0203,0.017,0.9627
33,AC,0.0203,0.0169,0.9628
33,CP,0.0186,0.0166,0.9648
33,wspoissonTest,0.0188,0.0165,0.9647
33,wspoissonTest_midp,0.0195,0.0176,0.9629
34,AC,0.0208,0.0241,0.9551
34,CP,0.0185,0.024,0.9575
34,wspoissonTest,0.0186,0.024,0.9574
34,wspoissonTest_midp,0.02,0.025,0.955
35,AC,0.0246,0.0211,0.9543
35,CP,0.0221,0.0208,0.9571
35,wspoissonTest,0.0224,0.0208,0.9568
35,wspoissonTest_midp,0.0238,0.0218,0.9544
36,AC,0.0222,0.0192,0.9586
36,CP,0.0201,0.0191,0.9608
36,wspoissonTest,0.0204,0.019,0.9606
36,wspoissonTest_midp,0.0213,0.0203,0.9584
37,AC,0.0038,0.0035,0.9927
37,CP,0.0031,0.0035,0.9934
37,wspoissonTest,0.0031,0.0034,0.9935
37,wspoissonTest_midp,0.0031,0.0039,0.993
38,AC,0.0012,0.0015,0.9973
38,CP,8e-4,0.0015,0.9977
38,wspoissonTest,9e-4,0.0013,0.9978
38,wspoissonTest_midp,0.001,0.0017,0.9973
39,AC,0.0025,0.0026,0.9949
39,CP,0.0021,0.0026,0.9953
39,wspoissonTest,0.0021,0.0025,0.9954
39,wspoissonTest_midp,0.0024,0.0028,0.9948
40,AC,0.0144,0.015,0.9706
40,CP,0.0136,0.015,0.9714
40,wspoissonTest,0.0137,0.015,0.9713
40,wspoissonTest_midp,0.0142,0.015,0.9708
41,AC,0.0146,0.0123,0.9731
41,CP,0.0132,0.0123,0.9745
41,wspoissonTest,0.0133,0.0121,0.9746
41,wspoissonTest_midp,0.0141,0.0131,0.9728
42,AC,0.0136,0.0146,0.9718
42,CP,0.0116,0.0146,0.9738
42,wspoissonTest,0.0118,0.0142,0.974
42,wspoissonTest_midp,0.0126,0.0156,0.9718
43,AC,0.0195,0.0197,0.9608
43,CP,0.0164,0.0196,0.964
