design,method,conf_int_1,conf_int_2,width,lower_error_freq,upper_error_freq,coverage
20852,AC,0.03484345385050147,0.07114739170306238,0.0363039378525609,0.0158,0.0367,0.9475
20852,CP,0.033787122182166784,0.07104285901724856,0.03725573683508177,0.0104,0.0376,0.952
20852,wspoissonTest,0.033914349505299306,0.08169997542945158,0.04778562592415227,0.011,3e-4,0.9887
20852,wspoissonTest_midp,0.03497807139107743,0.07776547233620755,0.04278740094513013,0.0172,0.0014,0.9814
20853,AC,0.03502682940475191,0.0703354207396014,0.0353085913348495,0.0086,0.0259,0.9655
20853,CP,0.034010847945665744,0.07023988759194777,0.036229039646282025,0.0051,0.0267,0.9682
20853,wspoissonTest,0.03413146988211015,0.08107737942763148,0.04694590954552132,0.0058,2e-4,0.994
20853,wspoissonTest_midp,0.035166327504790075,0.07715858321668904,0.04199225571189896,0.0095,0.001,0.9895
20854,AC,0.03490443214107084,0.07109215040157324,0.036187718260502405,0.0176,0.0383,0.9441
20854,CP,0.033853062322951474,0.07098914302973028,0.0371360807067788,0.0111,0.0396,0.9493
20854,wspoissonTest,0.033979693862926506,0.08167108181898296,0.04769138795605645,0.012,0,0.988
20854,wspoissonTest_midp,0.03503932511856169,0.07773987627068282,0.042700551152121125,0.0181,5e-4,0.9814
20855,AC,0.03512486438604929,0.07075145745841002,0.03562659307236073,0.0166,0.0367,0.9467
20855,CP,0.03409717051484768,0.07065466299731607,0.03655749248246838,0.01,0.0376,0.9524
20855,wspoissonTest,0.034220355910190826,0.08144533506560893,0.047224979155418095,0.0109,1e-4,0.989
20855,wspoissonTest_midp,0.03526339116390851,0.07752418866695748,0.042260797503048966,0.018,0.0012,0.9808
20856,AC,0.0349733016432298,0.07116721856754278,0.03619391692431298,0.0166,0.0378,0.9456
20856,CP,0.03392223397324734,0.07106487059571673,0.037142636622469395,0.0105,0.0384,0.9511
20856,wspoissonTest,0.034048982121300496,0.08174813753940072,0.04769915541810023,0.011,4e-4,0.9886
20856,wspoissonTest_midp,0.03510883644761256,0.07781735317735798,0.04270851672974542,0.0177,0.0015,0.9808
20857,AC,0.03492908537835614,0.07056654094706176,0.03563745556870562,0.0176,0.034,0.9484
20857,CP,0.0338993421470921,0.07046780280341701,0.0365684606563249,0.0107,0.0349,0.9544
20857,wspoissonTest,0.03402242916741909,0.08125220390059505,0.04722977473317596,0.0115,3e-4,0.9882
20857,wspoissonTest_midp,0.035065314652988115,0.07733016728636767,0.04226485263337956,0.019,0.0016,0.9794
20858,AC,2.782439738637067e-4,0.018657698441378753,0.018379454467515047,0.0153,0.1598,0.8249
20858,CP,8.006735184157107e-4,0.017357636151866418,0.01655696263345071,0.0102,0.1598,0.83
20858,wspoissonTest,8.072319794462456e-4,0.03471676042923565,0.0339095284497894,0.0107,0,0.9893
