design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
1,50,0.010477695140182734,200,0.005,0.02,high,1,0.2555823100666992,1
2,50,0.010477695140182734,200,0.005,0.02,low,1,0.24276217579517395,1
3,50,0.010477695140182734,200,0.005,0.02,uniform,1,0.24985902090207954,1
4,50,0.010477695140182734,200,0.005,0.05,high,2,0.1276193493672725,1
5,50,0.010477695140182734,200,0.005,0.05,low,2,0.12194374537718551,1
6,50,0.010477695140182734,200,0.005,0.05,uniform,2,0.12497908575099326,1
7,50,0.010477695140182734,200,0.005,0.1,high,5,0.05091023231784827,1
8,50,0.010477695140182734,200,0.005,0.1,low,5,0.0490546685148012,1
9,50,0.010477695140182734,200,0.005,0.1,uniform,5,0.0500007081253281,1
10,50,0.010477695140182734,200,0.005,0.25,high,12,0.021111998160726748,1
11,50,0.010477695140182734,200,0.005,0.25,low,12,0.020564201211713345,1
12,50,0.010477695140182734,200,0.005,0.25,uniform,12,0.020838934319211518,1
13,50,0.010477695140182734,200,0.005,0.5,high,25,0.01008293216894636,1
14,50,0.010477695140182734,200,0.005,0.5,low,25,0.00991842093678426,1
15,50,0.010477695140182734,200,0.005,0.5,uniform,25,0.010000838406151725,1
16,50,0.010477695140182734,200,0.005,0.75,high,38,0.0066062501158867986,1
17,50,0.010477695140182734,200,0.005,0.75,low,38,0.006551638707416061,1
18,50,0.010477695140182734,200,0.005,0.75,uniform,38,0.006580393126220945,1
19,50,0.01980434272814637,200,0.005,0.02,high,1,0.2629377843772744,1
20,50,0.01980434272814637,200,0.005,0.02,low,1,0.24084601474779158,1
21,50,0.01980434272814637,200,0.005,0.02,uniform,1,0.2500379216392871,1
22,50,0.01980434272814637,200,0.005,0.05,high,2,0.13138748801195957,1
23,50,0.01980434272814637,200,0.005,0.05,low,2,0.12097345352937829,1
24,50,0.01980434272814637,200,0.005,0.05,uniform,2,0.12480497575467692,1
25,50,0.01980434272814637,200,0.005,0.1,high,5,0.05189941896921736,1
26,50,0.01980434272814637,200,0.005,0.1,low,5,0.04857643433781994,1
27,50,0.01980434272814637,200,0.005,0.1,uniform,5,0.04994424531199603,1
28,50,0.01980434272814637,200,0.005,0.25,high,12,0.021399864009572094,1
29,50,0.01980434272814637,200,0.005,0.25,low,12,0.02032721675217992,1
30,50,0.01980434272814637,200,0.005,0.25,uniform,12,0.020815976020670274,1
31,50,0.01980434272814637,200,0.005,0.5,high,25,0.010161212963911384,1
